state,coc,coc_num,coc_award_amount,rural_urban,total_beds,total_hmis_beds,hmis_bed_coverage_perc,es_sh_avg_days,es_sh_median_days,es_sh_th_avg_days,es_sh_th_median_days,num_exit_to_perm_housing_so,num_return_6_so,num_return_12_so,num_return_24_so,perc_return_6_so,perc_return_12_so,perc_return_24_so,num_exit_to_perm_housing_es,num_return_6_es,num_return_12_es,num_return_24_es,perc_return_6_es,perc_return_12_es,perc_return_24_es,num_exit_to_perm_housing_th,num_return_6_th,num_return_12_th,num_return_24_th,perc_return_6_th,perc_return_12_th,perc_return_24_th,num_exit_to_perm_housing_sh,num_return_6_sh,num_return_12_sh,num_return_24_sh,perc_return_6_sh,perc_return_12_sh,perc_return_24_sh,num_exit_to_perm_housing_ph,num_return_6_ph,num_return_12_ph,num_return_24_ph,perc_return_6_ph,perc_return_12_ph,perc_return_24_ph,num_exit_to_perm_housing_so_es_th_sh_ph,num_return_6_so_es_th_sh_ph,num_return_12_so_es_th_sh_ph,num_return_24_all,perc_return_6_all,perc_return_12_all,perc_return_24_all,,,,,,,,,,avg_pct_wage_inc,,,,,,,,total_num_exit_so,num_exit_so_to_temp,num_exit_so_to_perm,perc_successfully_exit_so,total_num_exit_es_th_sh_phrrh,num_exit_es_th_sh_phrrh_to_perm,perc_successfully_exit_es_th_sh_phrrh_to_perm,,,,,,,,,,,,,,,,,,
AR,Fayetteville/Northwest Arkansas CoC,AR-501,"$348,954.00",Other Largely Urban CoC,156,127,81%,258,348,359,355,0,0,0,0,NA,NA,NA,73,8,9,13,11%,12%,18%,40,1,2,3,3%,5%,8%,0,0,0,0,NA,NA,NA,57,0,0,0,0%,0%,0%,170,9,11,16,5%,6%,9%,470,37,3,8%,14,38%,14,38%,11,0,0%,4,36%,4,36%,441,527,15,0,0,0%,373,113,30%,60,53,88%,433,142,33%,31,0,0%,19,3,16%,197,0,0%,0,0,NA
AR,Arkansas  Balance of State  CoC,AR-503,"$588,711.00",Largely Rural CoC,350,237,68%,104,38,136,45,0,0,0,0,NA,NA,NA,218,30,46,60,14%,21%,28%,34,1,1,4,3%,3%,12%,0,0,0,0,NA,NA,NA,28,0,0,0,0%,0%,0%,280,31,47,64,11%,17%,23%,1366,13,0,0%,3,23%,3,23%,44,29,66%,1,2%,30,68%,797,952,69,7,13,29%,728,278,38%,4,2,50%,1100,263,24%,128,82,64%,3,2,67%,195,36,18%,206,7,3%
AR,Southeast Arkansas CoC,AR-505,"$230,195.00",Largely Rural CoC,95,0,0%,46,16,61,19,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,87,9,0,0%,0,0%,0,0%,0,0,NA,0,NA,0,NA,59,59,76,13,18,41%,73,19,26%,3,3,100%,133,54,41%,9,0,0%,0,0,NA,0,0,NA,78,4,5%
AR,Fort Smith CoC,AR-508, $-   ,Largely Rural CoC,198,0,0%,249,366,1355,1117,0,0,0,0,NA,NA,NA,83,7,8,18,8%,10%,22%,1,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,84,7,8,18,8%,10%,21%,1104,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,967,967,0,0,0,NA,948,143,15%,0,0,NA,1667,1309,79%,23,0,0%,0,0,NA,99,0,0%,0,0,NA
AZ,Arizona Balance of State CoC,AZ-500,"$4,441,226.00",Largely Rural CoC,712,621,87%,52,21,65,25,94,11,23,32,12%,24%,34%,748,87,121,163,12%,16%,22%,235,26,36,47,11%,15%,20%,0,0,0,0,NA,NA,NA,1130,52,77,141,5%,7%,12%,2207,176,257,383,8%,12%,17%,4162,245,16,7%,52,21%,57,23%,287,43,15%,45,16%,81,28%,2673,4310,1601,242,142,24%,4676,1892,40%,1059,1016,96%,3484,666,19%,264,17,6%,301,21,7%,1831,52,3%,751,23,3%
AZ,Tucson/Pima County CoC,AZ-501,"$8,497,232.00",Major City CoC,1117,1117,100%,62,33,98,45,114,22,35,42,19%,31%,37%,1316,189,317,421,14%,24%,32%,241,15,27,46,6%,11%,19%,15,1,2,4,7%,13%,27%,849,61,105,176,7%,12%,21%,2535,288,486,689,11%,19%,27%,3943,474,25,5%,70,15%,87,18%,409,77,19%,59,14%,128,31%,2434,2966,1253,102,296,32%,3982,2088,52%,849,798,94%,2977,327,11%,463,25,5%,233,14,6%,1469,16,1%,772,525,68%
AZ,"Phoenix, Mesa/Maricopa County CoC",AZ-502,"$28,412,341.00",Major City CoC,3448,2911,84%,68,46,95,57,510,118,157,204,23%,31%,40%,2297,299,499,750,13%,22%,33%,1107,74,129,205,7%,12%,19%,2,0,0,0,0%,0%,0%,1815,219,348,470,12%,19%,26%,5731,710,1133,1629,12%,20%,28%,13746,2059,172,8%,937,46%,1025,50%,953,171,18%,222,23%,375,39%,8535,9635,6917,1879,564,35%,10734,4513,42%,6466,6000,93%,9901,3235,33%,1693,188,11%,1519,417,27%,3133,158,5%,7768,802,10%
CA,San Jose/Santa Clara City & County CoC,CA-500,"$29,506,119.00",Major City CoC,1687,1687,100%,70,35,120,53,15,3,4,7,20%,27%,47%,758,108,188,244,14%,25%,32%,535,46,61,104,9%,11%,19%,5,1,2,2,20%,40%,40%,1162,48,96,151,4%,8%,13%,2475,206,351,508,8%,14%,21%,6201,565,64,11%,149,26%,199,35%,620,134,22%,65,10%,186,30%,2574,3385,1693,341,287,37%,5641,1817,32%,2162,1997,92%,4343,2216,51%,843,127,15%,238,21,9%,1406,64,5%,750,273,36%
CA,San Francisco CoC,CA-501,"$47,849,533.00",Major City CoC,3248,1874,58%,146,92,182,112,11,2,3,3,18%,27%,27%,191,29,37,43,15%,19%,23%,103,2,4,6,2%,4%,6%,0,0,0,0,NA,NA,NA,504,2,12,37,0%,2%,7%,809,35,56,89,4%,7%,11%,8362,1720,109,6%,563,33%,647,38%,335,38,11%,124,37%,153,46%,399,629,1424,11,41,4%,1143,521,46%,6967,6683,96%,1215,274,23%,190,20,11%,731,113,15%,429,85,20%,1425,1361,96%
CA,"Oakland, Berkeley/Alameda County CoC",CA-502,"$36,369,614.00",Major City CoC,1559,1380,89%,152,111,196,142,54,0,0,2,0%,0%,4%,472,69,99,139,15%,21%,29%,353,21,41,71,6%,12%,20%,0,0,0,0,NA,NA,NA,895,49,62,100,5%,7%,11%,1774,139,202,312,8%,11%,18%,4034,1737,81,5%,333,19%,390,22%,849,126,15%,137,16%,238,28%,2553,3622,741,124,104,31%,2496,1344,54%,2766,2694,97%,1737,110,6%,528,23,4%,285,21,7%,1091,68,6%,660,90,14%
CA,Sacramento City & County CoC,CA-503,"$23,349,292.00",Major City CoC,1528,1349,88%,99,46,144,78,567,61,102,151,11%,18%,27%,823,88,124,208,11%,15%,25%,420,26,43,70,6%,10%,17%,0,0,0,0,NA,NA,NA,1272,57,104,200,4%,8%,16%,3082,232,373,629,8%,12%,20%,4372,1256,45,4%,505,40%,532,42%,259,32,12%,101,39%,127,49%,2357,5206,3693,280,841,30%,5110,2136,42%,2888,2813,97%,2663,641,24%,729,25,3%,396,7,2%,2992,129,4%,2947,1745,59%
CA,"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,"$3,976,410.00",Largely Suburban CoC,946,809,86%,122,80,139,93,0,0,0,0,NA,NA,NA,536,84,115,157,16%,21%,29%,110,9,23,27,8%,21%,25%,0,0,0,0,NA,NA,NA,412,7,19,31,2%,5%,8%,1058,100,157,215,9%,15%,20%,2332,174,34,20%,60,34%,82,47%,117,40,34%,27,23%,56,48%,1094,1675,3,1,2,100%,2651,1229,46%,672,639,95%,1587,104,7%,360,15,4%,147,7,5%,934,12,1%,129,83,64%
CA,Richmond/Contra Costa County CoC,CA-505,"$15,239,701.00",Largely Suburban CoC,614,614,100%,78,35,100,46,2,0,0,0,0%,0%,0%,505,78,109,141,15%,22%,28%,72,2,5,6,3%,7%,8%,0,0,0,0,NA,NA,NA,725,24,36,70,3%,5%,10%,1304,104,150,217,8%,12%,17%,3178,555,55,10%,294,53%,321,58%,91,32,35%,38,42%,55,60%,2300,2932,3154,868,12,28%,2910,822,28%,898,883,98%,2360,1266,54%,204,148,73%,78,2,3%,725,36,5%,2983,2163,73%
CA,"Salinas/Monterey, San Benito Counties CoC",CA-506,"$1,798,544.00",Largely Rural CoC,787,595,76%,76,48,178,92,19,2,3,4,11%,16%,21%,192,19,24,36,10%,13%,19%,246,4,11,15,2%,4%,6%,0,0,0,0,NA,NA,NA,131,7,9,16,5%,7%,12%,588,32,47,71,5%,8%,12%,1704,91,14,15%,27,30%,34,37%,132,19,14%,28,21%,41,31%,940,1123,85,13,9,26%,1418,506,36%,76,69,91%,1075,11,1%,259,9,3%,90,1,1%,1006,23,2%,180,0,0%
CA,Marin County CoC,CA-507,"$4,600,616.00",Largely Suburban CoC,323,323,100%,125,86,255,115,0,0,0,0,NA,NA,NA,186,18,28,45,10%,15%,24%,29,0,1,1,0%,3%,3%,0,0,0,0,NA,NA,NA,340,9,14,29,3%,4%,9%,555,27,43,75,5%,8%,14%,693,6,0,0%,4,67%,3,50%,3,1,33%,2,67%,3,100%,96,266,0,0,0,NA,717,294,41%,515,497,97%,595,195,33%,50,0,0%,56,2,4%,294,36,12%,0,0,NA
CA,Watsonville/Santa Cruz City & County CoC,CA-508,"$3,662,605.00",Largely Suburban CoC,443,362,82%,102,65,147,78,0,0,0,0,NA,NA,NA,156,15,26,37,10%,17%,24%,92,3,9,14,3%,10%,15%,0,0,0,0,NA,NA,NA,222,6,17,29,3%,8%,13%,470,24,52,80,5%,11%,17%,1627,142,3,2%,41,29%,42,30%,98,12,12%,20,20%,24,24%,926,1212,22,2,0,9%,1324,383,29%,169,162,96%,1114,106,10%,96,5,5%,47,11,23%,357,45,13%,22,13,59%
CA,Mendocino County CoC,CA-509,"$1,634,537.00",Largely Rural CoC,275,88,32%,48,19,78,28,0,0,0,0,NA,NA,NA,3,2,2,2,67%,67%,67%,17,0,2,3,0%,12%,18%,0,0,0,0,NA,NA,NA,14,0,0,0,0%,0%,0%,34,2,4,5,6%,12%,15%,327,108,6,6%,35,32%,40,37%,39,0,0%,12,31%,12,31%,221,323,0,0,0,NA,344,76,22%,225,217,96%,850,404,48%,52,6,12%,55,6,11%,71,9,13%,0,0,NA
CA,"Turlock, Modesto/Stanislaus County CoC",CA-510,"$3,384,296.00",Largely Suburban CoC,799,747,93%,42,16,59,16,4,0,0,1,0%,0%,25%,1109,149,201,329,13%,18%,30%,93,12,16,18,13%,17%,19%,0,0,0,0,NA,NA,NA,175,5,9,11,3%,5%,6%,1381,166,226,359,12%,16%,26%,5536,228,19,8%,89,39%,102,45%,238,24,10%,37,16%,59,25%,3442,3571,156,34,31,42%,4937,898,18%,422,416,99%,4906,2137,44%,259,129,50%,73,0,0%,186,4,2%,80,28,35%
CA,Stockton/San Joaquin County CoC,CA-511,"$5,207,322.00",Other Largely Urban CoC,1162,1086,93%,40,16,51,16,3,1,1,3,33%,33%,100%,646,138,201,253,21%,31%,39%,100,16,20,26,16%,20%,26%,0,0,0,0,NA,NA,NA,439,31,67,82,7%,15%,19%,1188,186,289,364,16%,24%,31%,8880,294,14,5%,167,57%,171,58%,202,54,27%,62,31%,90,45%,5221,5524,1294,5,0,0%,7888,733,9%,712,642,90%,7809,7633,98%,334,57,17%,149,91,61%,658,18,3%,1279,1270,99%
CA,Daly/San Mateo County CoC,CA-512,"$12,625,516.00",Largely Suburban CoC,633,633,100%,61,22,105,68,64,7,12,13,11%,19%,20%,161,36,42,57,22%,26%,35%,964,91,136,188,9%,14%,20%,0,0,0,0,NA,NA,NA,220,9,16,24,4%,7%,11%,1409,143,206,282,10%,15%,20%,2685,333,21,6%,140,42%,144,43%,553,81,15%,42,8%,116,21%,643,729,256,4,31,14%,1813,758,42%,1023,1008,99%,1552,171,11%,1107,37,3%,54,5,9%,400,3,1%,259,211,81%
CA,"Visalia/Kings, Tulare Counties CoC",CA-513,"$2,474,301.00",Other Largely Urban CoC,293,293,100%,65,23,112,36,65,9,13,20,14%,20%,31%,322,74,86,100,23%,27%,31%,88,6,14,19,7%,16%,22%,0,0,0,0,NA,NA,NA,295,3,8,22,1%,3%,7%,770,92,121,161,12%,16%,21%,1311,73,5,7%,19,26%,21,29%,51,5,10%,8,16%,13,25%,895,1488,496,136,115,51%,1563,637,41%,250,233,93%,990,180,18%,151,6,4%,55,2,4%,476,37,8%,319,56,18%
CA,Fresno City & County/Madera County CoC,CA-514,"$10,662,668.00",Major City CoC,364,171,47%,49,25,76,32,43,1,1,4,2%,2%,9%,404,34,56,71,8%,14%,18%,137,4,9,15,3%,7%,11%,49,4,8,11,8%,16%,22%,395,18,23,35,5%,6%,9%,1028,61,97,136,6%,9%,13%,1226,346,14,4%,134,39%,144,42%,207,12,6%,65,31%,74,36%,930,1418,570,60,112,30%,1246,802,64%,712,667,94%,841,46,5%,141,9,6%,196,12,6%,656,4,1%,745,33,4%
CA,"Roseville, Rocklin/Placer County CoC",CA-515,"$1,142,431.00",Largely Suburban CoC,341,322,94%,123,86,176,105,4,0,0,0,0%,0%,0%,141,36,49,61,26%,35%,43%,7,0,0,2,0%,0%,29%,0,0,0,0,NA,NA,NA,184,2,5,11,1%,3%,6%,336,38,54,74,11%,16%,22%,817,72,5,7%,33,46%,34,47%,12,2,17%,7,58%,9,75%,382,651,40,17,5,55%,773,355,46%,154,149,97%,559,17,3%,54,2,4%,27,3,11%,286,2,1%,11,0,0%
CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,"$365,267.00",Largely Rural CoC,715,0,0%,1,1,187,109,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,9,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,100,0,1,2,0%,1%,2%,109,0,1,2,0%,1%,2%,121,6,0,0%,0,0%,0,0%,2,1,50%,0,0%,1,50%,90,419,4,0,0,0%,470,283,60%,13,12,92%,29,14,48%,29,11,38%,20,17,85%,444,34,8%,0,0,NA
CA,Napa City & County CoC,CA-517,"$775,531.00",Other Largely Urban CoC,151,139,92%,109,74,168,95,220,18,30,50,8%,14%,23%,121,24,31,38,20%,26%,31%,33,0,0,3,0%,0%,9%,0,0,0,0,NA,NA,NA,106,5,8,12,5%,8%,11%,480,47,69,103,10%,14%,21%,493,23,2,9%,6,26%,8,35%,21,2,10%,6,29%,6,29%,212,315,414,60,142,49%,432,137,32%,48,46,96%,320,9,3%,61,7,11%,6,0,0%,195,12,6%,309,146,47%
CA,Vallejo/Solano County CoC,CA-518,"$1,486,257.00",Other Largely Urban CoC,339,219,65%,162,151,170,111,0,0,0,0,NA,NA,NA,18,0,1,2,0%,6%,11%,23,1,1,3,4%,4%,13%,0,0,0,0,NA,NA,NA,388,20,29,38,5%,7%,10%,429,21,31,43,5%,7%,10%,478,31,1,3%,11,35%,11,35%,133,3,2%,10,8%,13,10%,416,1096,0,0,0,NA,795,413,52%,253,209,83%,223,67,30%,121,3,2%,31,0,0%,397,8,2%,0,0,NA
CA,"Chico, Paradise/Butte County CoC",CA-519,"$611,447.00",Largely Rural CoC,471,376,80%,77,36,119,50,9,0,0,0,0%,0%,0%,315,95,123,144,30%,39%,46%,61,2,4,6,3%,7%,10%,0,0,0,0,NA,NA,NA,53,0,1,1,0%,2%,2%,438,97,128,151,22%,29%,34%,1169,21,2,10%,7,33%,9,43%,37,8,22%,6,16%,14,38%,681,1010,30,5,5,33%,1195,335,28%,405,371,92%,807,198,25%,143,3,2%,94,1,1%,303,10,3%,30,20,67%
CA,Merced City & County CoC,CA-520,"$774,302.00",Largely Suburban CoC,348,225,65%,54,26,54,26,0,0,0,0,NA,NA,NA,5,3,3,3,60%,60%,60%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,26,0,0,1,0%,0%,4%,31,3,3,4,10%,10%,13%,360,62,2,3%,2,3%,2,3%,81,1,1%,7,9%,8,10%,227,330,811,284,111,49%,464,109,23%,30,30,100%,438,39,9%,29,7,24%,2,0,0%,80,0,0%,438,0,0%
CA,"Davis, Woodland/Yolo County CoC",CA-521,"$516,569.00",Largely Suburban CoC,233,159,68%,104,64,126,72,35,3,4,9,9%,11%,26%,108,9,25,35,8%,23%,32%,17,2,2,3,12%,12%,18%,0,0,0,0,NA,NA,NA,135,2,3,10,1%,2%,7%,295,16,34,57,5%,12%,19%,528,58,6,10%,8,14%,12,21%,7,0,0%,0,0%,0,0%,247,570,282,40,86,45%,592,321,54%,126,122,97%,356,72,20%,38,0,0%,10,0,0%,298,37,12%,289,120,42%
CA,Humboldt County CoC,CA-522,"$903,714.00",Largely Rural CoC,396,186,47%,80,40,114,60,5,1,1,2,20%,20%,40%,118,9,13,16,8%,11%,14%,56,0,4,7,0%,7%,13%,0,0,0,0,NA,NA,NA,159,8,15,23,5%,9%,14%,338,18,33,48,5%,10%,14%,492,28,1,4%,16,57%,17,61%,42,5,12%,14,33%,17,40%,345,540,78,1,4,6%,508,239,47%,51,50,98%,325,29,9%,124,15,12%,12,0,0%,221,36,16%,187,118,63%
CA,"Colusa, Glenn, Trinity Counties CoC",CA-523,"$6,689.00",Largely Rural CoC,82,0,0%,0,0,457,434,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,50,4,6,6,8%,12%,12%,50,4,6,6,8%,12%,12%,28,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,9,226,0,0,0,NA,242,175,72%,0,0,NA,0,0,NA,3,0,0%,0,0,NA,328,40,12%,0,0,NA
CA,Yuba City & County/Sutter County CoC,CA-524,"$15,548.00",Largely Suburban CoC,189,142,75%,110,44,110,44,27,2,3,3,7%,11%,11%,135,10,18,24,7%,13%,18%,3,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,225,1,5,9,0%,2%,4%,390,13,26,36,3%,7%,9%,869,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,560,1411,114,21,21,37%,766,345,45%,0,0,NA,710,13,2%,0,0,NA,0,0,NA,806,66,8%,119,13,11%
CA,El Dorado County CoC,CA-525,"$20,153.00",Largely Suburban CoC,75,57,76%,224,51,256,55,15,1,2,2,7%,13%,13%,49,8,11,15,16%,22%,31%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,7,1,2,3,14%,29%,43%,71,10,15,20,14%,21%,28%,422,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,271,289,109,11,40,47%,213,108,51%,0,0,NA,283,98,35%,1,0,0%,0,0,NA,36,0,0%,53,20,38%
CA,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",CA-526,"$409,325.00",Largely Rural CoC,103,75,73%,59,30,104,35,0,0,0,0,NA,NA,NA,129,7,13,19,5%,10%,15%,8,0,1,1,0%,13%,13%,0,0,0,0,NA,NA,NA,47,0,0,1,0%,0%,2%,184,7,14,21,4%,8%,11%,290,9,0,0%,5,56%,5,56%,26,1,4%,4,15%,5,19%,249,486,0,0,0,NA,340,210,62%,17,14,82%,258,9,3%,10,0,0%,5,0,0%,168,2,1%,0,0,NA
CA,Tehama County CoC,CA-527,"$56,563.00",Largely Rural CoC,18,18,100%,24,9,48,13,0,0,0,0,NA,NA,NA,31,1,9,11,3%,29%,35%,18,0,0,5,0%,0%,28%,0,0,0,0,NA,NA,NA,57,1,1,1,2%,2%,2%,106,2,10,17,2%,9%,16%,286,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,179,231,3,0,3,100%,337,112,33%,0,0,NA,258,0,0%,26,1,4%,0,0,NA,78,0,0%,4,0,0%
CA,"Alpine, Inyo, Mono Counties CoC",CA-530,"$2,962.00",Largely Rural CoC,11,11,100%,36,10,38,12,0,0,0,0,NA,NA,NA,13,2,3,4,15%,23%,31%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,34,0,1,1,0%,3%,3%,47,2,4,5,4%,9%,11%,116,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,91,116,33,20,9,88%,113,54,48%,0,0,NA,111,0,0%,0,0,NA,0,0,NA,53,0,0%,39,0,0%
CA,Nevada County CoC,CA-531,"$176,410.00",Largely Rural CoC,130,113,87%,120,78,151,94,8,1,2,2,13%,25%,25%,128,24,41,50,19%,32%,39%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,2,0,0,0,0%,0%,0%,138,25,43,52,18%,31%,38%,419,17,2,12%,9,53%,10,59%,4,1,25%,1,25%,2,50%,236,241,71,26,29,77%,299,72,24%,31,30,97%,303,0,0%,30,0,0%,4,0,0%,84,0,0%,42,0,0%
